firmID,analystID,yq,actual,value,nobs,no_ANA
AAPL,81452,201002,0.5014,0.4571,249,277
AAPL,86702,201002,0.5014,0.4143,631,277
AAPL,89549,201002,0.5014,0.3786,328,277
AAPL,91167,201002,0.5014,0.45,334,277
AAPL,104889,201002,0.5014,0.4957,867,277
AAPL,106330,201002,0.5014,0.4443,710,277
AAPL,107105,201002,0.5014,0.44,412,277
AAPL,107682,201002,0.5014,0.4571,508,277
AAPL,110711,201002,0.5014,0.4414,732,277
AAPL,113333,201002,0.5014,0.4314,572,277
AAPL,114544,201002,0.5014,0.4743,470,277
AAPL,120428,201002,0.5014,0.4243,426,277
AAPL,125796,201002,0.5014,0.4686,316,277
AAPL,129986,201002,0.5014,0.45,75,277
AAPL,134165,201002,0.5014,0.4543,304,277
AAPL,1047,201003,0.6629,0.4914,729,277
AAPL,21096,201003,0.6629,0.5814,1149,277
AAPL,40319,201003,0.6629,0.5514,446,277
AAPL,43767,201003,0.6629,0.5971,26,277
AAPL,44121,201003,0.6629,0.5871,686,277
AAPL,47225,201003,0.6629,0.5614,577,277
AAPL,47677,201003,0.6629,0.5829,470,277
AAPL,49595,201003,0.6629,0.5786,740,277
AAPL,53315,201003,0.6629,0.5857,539,277
AAPL,56181,201003,0.6629,0.6086,555,277
AAPL,56419,201003,0.6629,0.5714,411,277
AAPL,58377,201003,0.6629,0.6043,389,277
AAPL,58499,201003,0.6629,0.6,779,277
AAPL,59325,201003,0.6629,0.5529,1361,277
AAPL,70706,201003,0.6629,0.56,1023,277
AAPL,70745,201003,0.6629,0.58,461,277
AAPL,70850,201003,0.6629,0.5886,396,277
AAPL,71466,201003,0.6629,0.5457,499,277
AAPL,72029,201003,0.6629,0.6214,489,277
AAPL,72069,201003,0.6629,0.5757,1077,277
AAPL,75007,201003,0.6629,0.6229,395,277
AAPL,75222,201003,0.6629,0.5786,273,277
AAPL,78750,201003,0.6629,0.5757,854,277
AAPL,81452,201003,0.6629,0.64,249,277
AAPL,86702,201003,0.6629,0.5814,631,277
AAPL,89549,201003,0.6629,0.5857,328,277
AAPL,91167,201003,0.6629,0.5943,334,277
AAPL,104889,201003,0.6629,0.6043,867,277
AAPL,106330,201003,0.6629,0.6,710,277
AAPL,107105,201003,0.6629,0.5929,412,277
AAPL,107682,201003,0.6629,0.5843,508,277
AAPL,107846,201003,0.6629,0.5743,900,277
AAPL,110711,201003,0.6629,0.5757,732,277
AAPL,112568,201003,0.6629,0.49,107,277
AAPL,113333,201003,0.6629,0.6243,572,277
AAPL,114544,201003,0.6629,0.63,470,277
AAPL,120428,201003,0.6629,0.5857,426,277
AAPL,125796,201003,0.6629,0.6186,316,277
AAPL,129986,201003,0.6629,0.5814,75,277
AAPL,134165,201003,0.6629,0.6114,304,277
AAPL,1047,201004,0.9186,0.7043,729,277
AAPL,21096,201004,0.9186,0.7429,1149,277
AAPL,43767,201004,0.9186,0.7643,26,277
AAPL,44121,201004,0.9186,0.7914,686,277
AAPL,47225,201004,0.9186,0.8214,577,277
AAPL,47677,201004,0.9186,0.7971,470,277
AAPL,49595,201004,0.9186,0.7614,740,277
AAPL,51096,201004,0.9186,0.7571,1055,277
AAPL,53315,201004,0.9186,0.8,539,277
AAPL,56181,201004,0.9186,0.81,555,277
AAPL,56419,201004,0.9186,0.7714,411,277
AAPL,58307,201004,0.9186,0.7671,712,277
AAPL,58377,201004,0.9186,0.7943,389,277
AAPL,58499,201004,0.9186,0.7429,779,277
AAPL,59325,201004,0.9186,0.7257,1361,277
AAPL,70687,201004,0.9186,0.7143,586,277
AAPL,70706,201004,0.9186,0.75,1023,277
AAPL,70721,201004,0.9186,0.7486,97,277
AAPL,70745,201004,0.9186,0.7386,461,277
AAPL,70850,201004,0.9186,0.7657,396,277
AAPL,71466,201004,0.9186,0.7943,499,277
AAPL,72029,201004,0.9186,0.7729,489,277
AAPL,72069,201004,0.9186,0.86,1077,277
AAPL,72446,201004,0.9186,0.7729,624,277
AAPL,75007,201004,0.9186,0.8257,395,277
AAPL,75222,201004,0.9186,0.7886,273,277
AAPL,78750,201004,0.9186,0.7643,854,277
AAPL,81452,201004,0.9186,0.8143,249,277
AAPL,86702,201004,0.9186,0.75,631,277
AAPL,89549,201004,0.9186,0.7086,328,277
AAPL,91167,201004,0.9186,0.77,334,277
AAPL,104889,201004,0.9186,0.76,867,277
AAPL,106330,201004,0.9186,0.7686,710,277
AAPL,107105,201004,0.9186,0.7529,412,277
AAPL,107682,201004,0.9186,0.8071,508,277
AAPL,107846,201004,0.9186,0.7586,900,277
AAPL,110711,201004,0.9186,0.7529,732,277
AAPL,112568,201004,0.9186,0.7171,107,277
AAPL,113333,201004,0.9186,0.8071,572,277
AAPL,114544,201004,0.9186,0.8029,470,277
AAPL,120428,201004,0.9186,0.8214,426,277
AAPL,125796,201004,0.9186,0.79,316,277
AAPL,127008,201004,0.9186,0.7714,125,277
AAPL,129986,201004,0.9186,0.7614,75,277
AAPL,134165,201004,0.9186,0.7871,304,277
AAPL,1047,201101,0.9143,0.73,729,277
AAPL,19412,201101,0.9143,0.7657,16,277
AAPL,21096,201101,0.9143,0.7286,1149,277
AAPL,40319,201101,0.9143,0.7857,446,277
AAPL,43767,201101,0.9143,0.7614,26,277
AAPL,44121,201101,0.9143,0.8229,686,277
AAPL,47225,201101,0.9143,0.7357,577,277
AAPL,47677,201101,0.9143,0.81,470,277
AAPL,49595,201101,0.9143,0.7286,740,277
AAPL,51096,201101,0.9143,0.7686,1055,277
AAPL,53315,201101,0.9143,0.7471,539,277
AAPL,56181,201101,0.9143,0.78,555,277
AAPL,56419,201101,0.9143,0.7771,411,277
AAPL,58307,201101,0.9143,0.7214,712,277
AAPL,58377,201101,0.9143,0.8414,389,277
AAPL,58499,201101,0.9143,0.7286,779,277
AAPL,59325,201101,0.9143,0.73,1361,277
AAPL,70687,201101,0.9143,0.75,586,277
AAPL,70706,201101,0.9143,0.7514,1023,277
AAPL,70721,201101,0.9143,0.76,97,277
AAPL,70850,201101,0.9143,0.7143,396,277
AAPL,71466,201101,0.9143,0.7071,499,277
AAPL,72029,201101,0.9143,0.7771,489,277
AAPL,72069,201101,0.9143,0.8171,1077,277
AAPL,72446,201101,0.9143,0.7671,624,277
AAPL,75007,201101,0.9143,0.8229,395,277
AAPL,75222,201101,0.9143,0.7929,273,277
AAPL,76979,201101,0.9143,0.8214,352,277
AAPL,78750,201101,0.9143,0.7329,854,277
AAPL,81452,201101,0.9143,0.8214,249,277
AAPL,86702,201101,0.9143,0.7629,631,277
AAPL,89549,201101,0.9143,0.7371,328,277
AAPL,91167,201101,0.9143,0.7129,334,277
AAPL,92348,201101,0.9143,0.8543,900,277
AAPL,104889,201101,0.9143,0.7743,867,277
AAPL,106330,201101,0.9143,0.77,710,277
AAPL,107105,201101,0.9143,0.7386,412,277
AAPL,107682,201101,0.9143,0.8143,508,277
AAPL,107846,201101,0.9143,0.7586,900,277
AAPL,110711,201101,0.9143,0.7186,732,277
AAPL,112568,201101,0.9143,0.7329,107,277
AAPL,113333,201101,0.9143,0.8014,572,277
AAPL,114544,201101,0.9143,0.74,470,277
AAPL,120428,201101,0.9143,0.7571,426,277
AAPL,125796,201101,0.9143,0.8314,316,277
AAPL,127008,201101,0.9143,0.6929,125,277
AAPL,129986,201101,0.9143,0.7929,75,277
AAPL,1047,201102,1.1129,0.8514,729,277
AAPL,19412,201102,1.1129,0.8214,16,277
AAPL,21096,201102,1.1129,0.7671,1149,277
AAPL,40319,201102,1.1129,0.7814,446,277
AAPL,43767,201102,1.1129,0.8043,26,277
AAPL,44121,201102,1.1129,0.8929,686,277
AAPL,47225,201102,1.1129,0.9057,577,277
AAPL,47677,201102,1.1129,0.8486,470,277
AAPL,49595,201102,1.1129,0.7771,740,277
AAPL,51096,201102,1.1129,0.7971,1055,277
AAPL,53315,201102,1.1129,0.8571,539,277
AAPL,56181,201102,1.1129,0.8471,555,277
AAPL,56419,201102,1.1129,0.84,411,277
AAPL,58063,201102,1.1129,0.8743,1554,277
AAPL,58307,201102,1.1129,0.8271,712,277
AAPL,58377,201102,1.1129,0.8514,389,277
AAPL,58499,201102,1.1129,0.7929,779,277
AAPL,59325,201102,1.1129,0.7871,1361,277
AAPL,70687,201102,1.1129,0.8143,586,277
AAPL,70706,201102,1.1129,0.8314,1023,277
AAPL,70721,201102,1.1129,0.8129,97,277
AAPL,70850,201102,1.1129,0.85,396,277
AAPL,71466,201102,1.1129,0.7586,499,277
AAPL,72029,201102,1.1129,0.85,489,277
AAPL,72069,201102,1.1129,0.8514,1077,277
AAPL,72446,201102,1.1129,0.8243,624,277
AAPL,75007,201102,1.1129,0.85,395,277
AAPL,75222,201102,1.1129,0.8157,273,277
AAPL,76979,201102,1.1129,0.8929,352,277
AAPL,78750,201102,1.1129,0.8686,854,277
AAPL,81452,201102,1.1129,0.9286,249,277
AAPL,86702,201102,1.1129,0.7814,631,277
AAPL,89549,201102,1.1129,0.83,328,277
AAPL,92348,201102,1.1129,0.8986,900,277
AAPL,106330,201102,1.1129,0.94,710,277
AAPL,107682,201102,1.1129,0.9,508,277
AAPL,107846,201102,1.1129,0.8186,900,277
AAPL,110711,201102,1.1129,0.8171,732,277
AAPL,113333,201102,1.1129,0.8671,572,277
AAPL,114544,201102,1.1129,0.85,470,277
AAPL,120428,201102,1.1129,0.81,426,277
AAPL,125796,201102,1.1129,0.86,316,277
AAPL,127008,201102,1.1129,0.9171,125,277
AAPL,129986,201102,1.1129,0.8157,75,277
AAPL,134165,201102,1.1129,0.8886,304,277
AAPL,1047,201103,1.0071,1.0529,729,277
AAPL,19412,201103,1.0071,1.0886,16,277
AAPL,21096,201103,1.0071,1.0043,1149,277
AAPL,40319,201103,1.0071,0.8714,446,277
AAPL,44121,201103,1.0071,1.1,686,277
AAPL,47225,201103,1.0071,1.22,577,277
AAPL,47677,201103,1.0071,1.1029,470,277
AAPL,49595,201103,1.0071,1.0143,740,277
AAPL,51096,201103,1.0071,1.0329,1055,277
AAPL,53315,201103,1.0071,1.0857,539,277
AAPL,56181,201103,1.0071,1.0586,555,277
AAPL,56419,201103,1.0071,1.0829,411,277
AAPL,58063,201103,1.0071,1.1457,1554,277
AAPL,58307,201103,1.0071,1.03,712,277
AAPL,58377,201103,1.0071,1.1086,389,277
AAPL,58499,201103,1.0071,1.0714,779,277
AAPL,59325,201103,1.0071,1.0129,1361,277
AAPL,70687,201103,1.0071,0.9757,586,277
AAPL,70706,201103,1.0071,1.0514,1023,277
AAPL,70721,201103,1.0071,0.9571,97,277
AAPL,70850,201103,1.0071,1.0671,396,277
AAPL,71466,201103,1.0071,1.0086,499,277
AAPL,72029,201103,1.0071,1.0157,489,277
AAPL,72069,201103,1.0071,1.0429,1077,277
AAPL,72446,201103,1.0071,1.0429,624,277
AAPL,75007,201103,1.0071,1.1186,395,277
AAPL,75222,201103,1.0071,1.0943,273,277
AAPL,76979,201103,1.0071,1.1186,352,277
AAPL,78750,201103,1.0071,1.1243,854,277
AAPL,81452,201103,1.0071,1.0957,249,277
AAPL,86702,201103,1.0071,0.9,631,277
AAPL,89549,201103,1.0071,0.92,328,277
AAPL,90646,201103,1.0071,1.1571,1046,277
AAPL,92348,201103,1.0071,1.17,900,277
AAPL,106330,201103,1.0071,0.9871,710,277
AAPL,107682,201103,1.0071,0.9557,508,277
AAPL,107846,201103,1.0071,1.0214,900,277
AAPL,110711,201103,1.0071,0.9729,732,277
AAPL,113333,201103,1.0071,1.0657,572,277
AAPL,120428,201103,1.0071,0.9714,426,277
AAPL,125796,201103,1.0071,1.0986,316,277
AAPL,127008,201103,1.0071,1.0686,125,277
AAPL,129986,201103,1.0071,1.1429,75,277
AAPL,134165,201103,1.0071,1.0357,304,277
AAPL,143656,201103,1.0071,1.0814,188,277
AAPL,144094,201103,1.0071,1.1343,259,277
AAPL,1047,201104,1.9814,1.55,729,277
AAPL,19412,201104,1.9814,1.5729,16,277
AAPL,21096,201104,1.9814,1.3129,1149,277
AAPL,40319,201104,1.9814,1.4286,446,277
AAPL,43767,201104,1.9814,1.5286,26,277
AAPL,44121,201104,1.9814,1.5314,686,277
AAPL,47225,201104,1.9814,1.4129,577,277
AAPL,47677,201104,1.9814,1.5071,470,277
AAPL,49595,201104,1.9814,1.38,740,277
AAPL,51096,201104,1.9814,1.5343,1055,277
AAPL,53315,201104,1.9814,1.4286,539,277
AAPL,56181,201104,1.9814,1.4957,555,277
AAPL,56419,201104,1.9814,1.4143,411,277
AAPL,58063,201104,1.9814,1.4129,1554,277
AAPL,58307,201104,1.9814,1.4171,712,277
AAPL,58377,201104,1.9814,1.51,389,277
AAPL,58499,201104,1.9814,1.3786,779,277
AAPL,59325,201104,1.9814,1.5,1361,277
AAPL,70687,201104,1.9814,1.4286,586,277
AAPL,70706,201104,1.9814,1.4029,1023,277
AAPL,70721,201104,1.9814,1.3829,97,277
AAPL,70745,201104,1.9814,1.4086,461,277
AAPL,70850,201104,1.9814,1.4771,396,277
AAPL,71466,201104,1.9814,1.3586,499,277
AAPL,72029,201104,1.9814,1.5714,489,277
AAPL,72069,201104,1.9814,1.4429,1077,277
AAPL,72446,201104,1.9814,1.42,624,277
AAPL,75007,201104,1.9814,1.4657,395,277
AAPL,75222,201104,1.9814,1.5357,273,277
AAPL,76979,201104,1.9814,1.57,352,277
AAPL,78750,201104,1.9814,1.45,854,277
AAPL,81452,201104,1.9814,1.5714,249,277
AAPL,86702,201104,1.9814,1.3829,631,277
AAPL,90646,201104,1.9814,1.3743,1046,277
AAPL,92348,201104,1.9814,1.5471,900,277
AAPL,107682,201104,1.9814,1.5714,508,277
AAPL,107846,201104,1.9814,1.4243,900,277
AAPL,110711,201104,1.9814,1.3286,732,277
AAPL,113333,201104,1.9814,1.4171,572,277
AAPL,125796,201104,1.9814,1.6086,316,277
AAPL,127008,201104,1.9814,1.2686,125,277
AAPL,129986,201104,1.9814,1.4529,75,277
AAPL,132104,201104,1.9814,1.4557,123,277
AAPL,134165,201104,1.9814,1.6357,304,277
AAPL,143656,201104,1.9814,1.4543,188,277
AAPL,144094,201104,1.9814,1.3614,259,277
AAPL,1047,201201,1.7571,1.2086,729,277
AAPL,19412,201201,1.7571,1.3729,16,277
AAPL,40319,201201,1.7571,1.5357,446,277
AAPL,43767,201201,1.7571,1.35,26,277
AAPL,44121,201201,1.7571,1.5686,686,277
AAPL,47225,201201,1.7571,1.5629,577,277
AAPL,47677,201201,1.7571,1.4857,470,277
AAPL,49595,201201,1.7571,1.3814,740,277
AAPL,51096,201201,1.7571,1.4371,1055,277
AAPL,53315,201201,1.7571,1.2857,539,277
AAPL,56181,201201,1.7571,1.4257,555,277
AAPL,56419,201201,1.7571,1.5643,411,277
AAPL,58063,201201,1.7571,1.3843,1554,277
AAPL,58307,201201,1.7571,1.3343,712,277
AAPL,58377,201201,1.7571,1.4914,389,277
AAPL,58499,201201,1.7571,1.2443,779,277
AAPL,59325,201201,1.7571,1.4743,1361,277
AAPL,70687,201201,1.7571,1.4286,586,277
AAPL,70706,201201,1.7571,1.4157,1023,277
AAPL,70721,201201,1.7571,1.3757,97,277
AAPL,70745,201201,1.7571,1.2957,461,277
AAPL,70850,201201,1.7571,1.4571,396,277
AAPL,71466,201201,1.7571,1.3543,499,277
AAPL,72029,201201,1.7571,1.5343,489,277
AAPL,72069,201201,1.7571,1.5157,1077,277
AAPL,72446,201201,1.7571,1.4543,624,277
AAPL,75007,201201,1.7571,1.5357,395,277
AAPL,75222,201201,1.7571,1.3157,273,277
AAPL,76979,201201,1.7571,1.5414,352,277
AAPL,78750,201201,1.7571,1.3,854,277
AAPL,81452,201201,1.7571,1.4557,249,277
AAPL,86702,201201,1.7571,1.3757,631,277
AAPL,90646,201201,1.7571,1.4171,1046,277
AAPL,92348,201201,1.7571,1.5143,900,277
AAPL,106330,201201,1.7571,1.5429,710,277
AAPL,107682,201201,1.7571,1.5786,508,277
AAPL,107846,201201,1.7571,1.5,900,277
AAPL,110208,201201,1.7571,1.4271,1035,277
AAPL,113333,201201,1.7571,1.6857,572,277
AAPL,120428,201201,1.7571,1.4043,426,277
AAPL,120641,201201,1.7571,1.3786,638,277
AAPL,125796,201201,1.7571,1.53,316,277
AAPL,127008,201201,1.7571,1.4457,125,277
AAPL,129986,201201,1.7571,1.1843,75,277
AAPL,132104,201201,1.7571,1.3586,123,277
AAPL,134165,201201,1.7571,1.4686,304,277
AAPL,143656,201201,1.7571,1.36,188,277
AAPL,144094,201201,1.7571,1.3414,259,277
AAPL,1047,201202,1.3314,1.4829,729,277
AAPL,8065,201202,1.3314,1.4271,1278,277
AAPL,19412,201202,1.3314,1.4114,16,277
AAPL,40319,201202,1.3314,1.3571,446,277
AAPL,43767,201202,1.3314,1.6643,26,277
AAPL,44121,201202,1.3314,1.4571,686,277
AAPL,47225,201202,1.3314,1.4014,577,277
AAPL,47677,201202,1.3314,1.7871,470,277
AAPL,49595,201202,1.3314,1.3743,740,277
AAPL,51096,201202,1.3314,1.4557,1055,277
AAPL,53315,201202,1.3314,1.45,539,277
AAPL,56181,201202,1.3314,1.4286,555,277
AAPL,56419,201202,1.3314,1.5486,411,277
AAPL,58063,201202,1.3314,1.4357,1554,277
AAPL,58307,201202,1.3314,1.3714,712,277
AAPL,58377,201202,1.3314,1.4629,389,277
AAPL,58499,201202,1.3314,1.5371,779,277
